textBox2,All_customer,textBox3,textBox7,textBox4,textBox8,textBox44,textBox6,textBox5,textBox1,textBox58,textBox46,textBox45,textBox43,textBox47,textBox28,htmlTextBox5,textBox14,textBox36,textBox37,textBox38,textBox42,textBox40,textBox41,textBox39,textBox49,textBox25,htmlTextBox4,textBox61,textBox59,textBox64,textBox62,textBox63,textBox60,textBox66,textBox67,barSeries1,barSeries1_X,barSeries1_Y,barSeries1,barSeries1_X,barSeries1_Y,barSeries1,barSeries1_X,barSeries1_Y,barSeries1,barSeries1_X,barSeries1_Y,barSeries1,barSeries1_X,barSeries1_Y,TagCount,TagBox,textBox9,textBox10,textBox11,htmlTextBox3,textBox15,textBox35,textBox23,textBox24,textBox21,textBox22,textBox17,textBox18,textBox19,textBox16,textBox20,textBox13,textBox26,textBox27,barSeries6,barSeries6_Angle,barSeries6_Radius,barSeries6,barSeries6_Angle,barSeries6_Radius,lineSeries1,lineSeries1_X,lineSeries1_Y,lineSeries1,lineSeries1_X,lineSeries1_Y
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#edd314,2,0,#e4e4e4,4,1,#f64343,3,2,,,,#cccccc,2,4,x12,7.1 เปิดบิ..,,,,,,,,,,,,,,,,,,,#c395ff,2,ALL,#fff404,47215.0000000000,ALL,#44ff00,เม.ย. 69,10000.0000000000,#c7e3ff,เม.ย. 69,63
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#f9ca58,2,0,#fd7f1b,4,1,#fe9191,5,2,,,,#97cbff,2,4,x12,3.4 SME ใน..,,,,,,,,,,,,,,,,,,,#f64343,94,ALL,#68ff7f,47215.0000000000,ALL,#44ff00,พ.ค. 69,95250.0000000000,#c7e3ff,พ.ค. 69,98
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#66f7ed,3,0,#97cbff,6,1,#59b4f3,5,2,,,,#66f7ed,3,4,x11,6.3 Low Va..,,,,,,,,,,,,,,,,,,,#cccccc,2,ALL,#66f7ed,47215.0000000000,ALL,#eaebec,ธ.ค. 68,146000.0000000000,#adff79,ธ.ค. 68,1
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#ffbc72,3,0,#50b2f5,8,1,#00f032,5,2,,,,#50b2f5,3,4,x10,4.6 Person..,,,,,,,,,,,,,,,,,,,#c7e3ff,98,ALL,,,,#eaebec,ม.ค. 69,0,#adff79,ม.ค. 69,0
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#e4e4e4,4,0,#7ac3ff,10,1,#44ff00,7,2,,,,#0cff8d,3,4,x10,No Tag,,,,,,,,,,,,,,,,,,,#77c7fd,4,ALL,,,,#eaebec,ก.พ. 69,121766.0000000000,#adff79,ก.พ. 69,2
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#cccccc,4,0,#00f032,12,1,#c7e3ff,8,2,,,,#fe9191,3,4,x9,2.4 Referr..,,,,,,,,,,,,,,,,,,,#5cdbc8,1,ALL,,,,#eaebec,มี.ค. 69,0,#adff79,มี.ค. 69,0
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#fd7f1b,4,0,#77c7fd,14,1,,,,,,,#ea0505,4,4,x8,4.2 Make u..,,,,,,,,,,,,,,,,,,,#fe9191,98,ALL,,,,#eaebec,เม.ย. 69,0,#adff79,เม.ย. 69,0
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#ecf300,5,0,#ff2828,40,1,,,,,,,#68ff7f,5,4,x7,1.1  ONLIN..,,,,,,,,,,,,,,,,,,,#44ff00,175,ALL,,,,#eaebec,พ.ค. 69,47215.0000000000,#adff79,พ.ค. 69,0
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#0cff8d,5,0,#fe9191,60,1,,,,,,,#f64343,5,4,x5,LEAD ON-GO..,,,,,,,,,,,,,,,,,,,#7ac3ff,16,ALL,,,,#f64343,ธ.ค. 68,68500.0000000000,#edd314,ธ.ค. 68,1
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#5cdbc8,5,0,#c7e3ff,69,1,,,,,,,#c7e3ff,6,4,x5,LEAD WIN,,,,,,,,,,,,,,,,,,,#ffbc72,3,ALL,,,,#f64343,ม.ค. 69,5000.0000000000,#edd314,ม.ค. 69,0
ลูกค้าทั้งหมด,249,ลูกค้าประจำ,1,ลูกค้าห่างหาย,26,ลูกค้าใหม่,14,208,ลูกค้าเป้าหมาย,5 อันดับ แท็กลูกค้า,"23,727.80",33,n/a,"783,017.50",**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม **,"507,070.00",24,"21,127.92",n/a,"275,947.50","30,660.83",9,n/a,รวมประเภทอื่นๆ [35.24%],**ผลรวมจากลูกค้าที่มีหลายแท็ก > ยอดขายจริง,รวม 5 อันดับ [64.76%]**,กิจกรรมการขาย ตามแท็กลูกค้า,พ.ค. 69 - กิจกรรม (ครั้ง) ,249,ยอดขาย ตามแท็กลูกค้า,"181,302.00",พ.ค. 69 - ยอดขาย  ,ยอดขาย 6 เดือนย้อนหลัง,กิจกรรม 6 เดือนย้อนหลัง,#68ff7f,5,0,#59b4f3,74,1,,,,,,,#00f032,6,4,x5,ลูกค้าเก่า,,,,,,,,,,,,,,,,,,,#97cbff,7,ALL,,,,#f64343,ก.พ. 69,15000.0000000000,#edd314,ก.พ. 69,0
