textBox33,textBox34,barSeries1,barSeries1_Angle,barSeries1_Radius,textBox19,textBox17,textBox13,textBox20,textBox14,textBox21,textBox15,textBox22,textBox16,textBox23,textBox24,textBox25,textBox26,textBox27,textBox18,textBox28,textBox29,textBox30,textBox31,barSeries2,barSeries2_X,barSeries2_Y
แบ่งโดย ใบขอราคา และ ใบเสนอราคา,10 อันดับกลุ่มสินค้าที่ลูกค้าปฏิเสธ,ราคาเกินงบประมาณที่ตั้งไว้,4,ALL,กลุ่มสินค้า,พัฒนาสูตร,สาเหตุ,อื่นๆ (โปรดระบุ),จำนวนครั้ง,1,%,50.00,มูลค่า,"10,000.00",ยอดรวม,2,100%,"20,000.00",ยอดรวมทั้งหมด,,5,100%,"388,000.00",ราคาเกินงบประมาณที่ตั้งไว้,1,ออกแบบสติ๊กเกอร์/สกรีน
แบ่งโดย ใบขอราคา และ ใบเสนอราคา,10 อันดับกลุ่มสินค้าที่ลูกค้าปฏิเสธ,อื่นๆ (โปรดระบุ),1,ALL,กลุ่มสินค้า,พัฒนาสูตร,สาเหตุ,ราคาเกินงบประมาณที่ตั้งไว้,จำนวนครั้ง,1,%,50.00,มูลค่า,"10,000.00",ยอดรวม,2,100%,"20,000.00",ยอดรวมทั้งหมด,,5,100%,"388,000.00",ราคาเกินงบประมาณที่ตั้งไว้,1,คลีนซิ่งเจล
แบ่งโดย ใบขอราคา และ ใบเสนอราคา,10 อันดับกลุ่มสินค้าที่ลูกค้าปฏิเสธ,,,,กลุ่มสินค้า,จดแจ้ง อย,สาเหตุ,ราคาเกินงบประมาณที่ตั้งไว้,จำนวนครั้ง,1,%,100.00,มูลค่า,"6,000.00",ยอดรวม,1,100%,"6,000.00",ยอดรวมทั้งหมด,,5,100%,"388,000.00",ราคาเกินงบประมาณที่ตั้งไว้,1,จดแจ้ง อย
แบ่งโดย ใบขอราคา และ ใบเสนอราคา,10 อันดับกลุ่มสินค้าที่ลูกค้าปฏิเสธ,,,,กลุ่มสินค้า,ออกแบบสติ๊กเกอร์/สกรีน,สาเหตุ,ราคาเกินงบประมาณที่ตั้งไว้,จำนวนครั้ง,1,%,100.00,มูลค่า,"4,000.00",ยอดรวม,1,100%,"4,000.00",ยอดรวมทั้งหมด,,5,100%,"388,000.00",ราคาเกินงบประมาณที่ตั้งไว้,1,พัฒนาสูตร
แบ่งโดย ใบขอราคา และ ใบเสนอราคา,10 อันดับกลุ่มสินค้าที่ลูกค้าปฏิเสธ,,,,กลุ่มสินค้า,คลีนซิ่งเจล,สาเหตุ,ราคาเกินงบประมาณที่ตั้งไว้,จำนวนครั้ง,1,%,100.00,มูลค่า,"358,000.00",ยอดรวม,1,100%,"358,000.00",ยอดรวมทั้งหมด,,5,100%,"388,000.00",อื่นๆ (โปรดระบุ),1,พัฒนาสูตร
